KPIs & Targets,,,,,,,,,,,,,,,Weightage- xp's to be credited based on the performance,,,,,
Department,AHT,New Refund%,New Conversion%,NRPC,New Revenue,AOS,NPS,CPD,WOW Score,Discovery Score,NRPD,OPD,NRPH,,New Refund%,New Conversion%,NRPC,AOS,NPS,WOW Score
Inbound,14,7.00%,18.50%,$11.22 ,Actuals,$60.66 ,65,23,80%,60%,--,Actuals,--,,10%,20%,25%,20%,15%,10%
India Msg,23,7.20%,15.80%,$9.32 ,Actuals,$59.00 ,65,20,80%,60%,--,Actuals,--,,,,,,,
ROW Eng,25,7.50%,8.50%,$13.60 ,Actuals,$160.00 ,65,19,80%,60%,--,Actuals,--,,,Max,Min,,,
IEM General,23,8.60%,9.00%,$12.60 ,Actuals,$140.00 ,65,Actuals,80%,60%,--,Actuals,--,,Points per day,100,0,,,
IEM Hosting,27.98,9.90%,10.40%,$36.40 ,Actuals,$350.00 ,65,Actuals,80%,60%,--,Actuals,--,,xp's per day,10,0,1 xp=10 points,,
IEM Sales,24,9.10%,22.00%,$52.80 ,Actuals,$240.00 ,65,Actuals,80%,60%,--,Actuals,--,,,,,,,
IEM Email Support,23.98,7.70%,14.00%,$25.20 ,Actuals,$180.00 ,65,Actuals,80%,60%,--,Actuals,--,,Daily Scratch card eligibility points,8 xp's,,,,
IEM Account Support,25,5.90%,9.50%,$16.82 ,Actuals,$177.00 ,65,Actuals,80%,60%,--,Actuals,--,,Spin wheel based on weekly challenges,to be unlocked if all challenges are met,,,,
CDT,--,--,--,--,Actuals,Actuals,--,85,80%,60%,$228.00 ,Actuals,"$5,700 ",,Spin wheel based on points earned,250,,,,
